	R1_Rigid_Posture_Copy	R2_Face_Centric	R3_Punctuated_Motions	R4_Vertical_Movements	R5_Subordinate_Fluidity	F1_Fluid_Posture	F2_Eye_Centric	F3_Gliding_Motions	F4_Horizontal_Movements	F5_Subordinate_Rigidity	PF1_Restless_Momentum	PF2_Toggling_Eyes	PF3_Body_Swaying	PF4_Casual_Hands	PF5_Alert_Perk_Ups	RF1_Viscous_Inertia	RF2_Fixed_Gaze	RF3_Diagonal_Eye_Drifts	RF4_Searching_Scowling	RF5_Narrow_Head_Zoning	PR1_Head_Pushes	PR2_Head_Shakes	PR3_Shoulder_Shrugs	PR4_Fluent_Articulation	PR5_Projecting_Hands	RR1_Poised_Receding	RR2_Disengaging_Eyes	RR3_Exerted_Pushes	RR4_Momentum_Halting	RR5_Meticulous_Hands
Jonathan Nolan	4	4	7	7	7	2		2	4		2	4	4	2		2	2	4	4	2	7	4	2	7	7	0	4		2	4
Chloe Zhao	4	7	7	7	2			2	2		2	2	4		4		2	2	2	2	4	2	2	4	4	4	4	4	4	7
Randall Munroe	4	7	2	2	4			2	2		4	4	2	2	2					2	2	4	2	4	4	4	7	2	4	7
Terence Tao	4	4	4	4	2	2	2	2	4		4	4	4	2	4	2	2	2	4		2	2	2	2	4	4	7	4	4	2
Jennifer Bagnaschi	7	4	7	7	2	2	2	2	2		2	2	2	2	4	2	4		2	4	4	4	2	4	7	2	2			2
Akiane Kramarik	7	7	4	4	4	2		4	4		4	2	7	7	2					2	2	4		2	4	4	7	7	4	7
Karen O	4	4	7	4	2	2	2	2	2		4	2	2	4			2	2			2	2	4	2	4	7	7	2	4	4
Adolf Hitler	7	4	7	7	7		2				2	2	2	2			4		2		7	7		7	7	4	2	2	0	7
Bong Joon-ho	2	4	2	2		4	4	4	4	2	2	7	2	2	2	7	4	4		4	4	2		4	2		2	2	0	4
Daniel Kessler			2			7	4	4	4	4	7	7	2	4	2	4	2	4	2	4	2	2			2			2		2
Che Guevara			2	2		7	4	2	7	7	4	4		2		4	4	7	4	4	4	2	2	2	2		2	2		2
Chris Cornell			2	2		4	7	4	4	4	4	7	2	7	4	4	2	2	4			2	2	2	4	4	2	2	2	4
Eddie Vedder	4	4	2	2	7	2	2	4	4		2	4	4	4	4	7	4	4	4	2	2	2	2	2	4	4	7	4	2	4
Alicia Atout				2		4	4	7	2	4	4	7	4		7						4	4	2	7	4	2				2
Ranton	2	2	2	4		7	7	7	7	4	4	7	7	7	2			2	4		2	2	7	4	4	2	2	2	2	4
Sadhguru		2		2		7	4	4	7	4		4	4	2	2	4	4	7	2	2	7	4	2	7	7		2			2
Jonna Jinton	7	7			2	0		4	4		4	4	4	4							2	2			2	7	4	2	2	4
Becca Tarnas	4	4		2	4	2		4	4		4	4	4	4					2		4	2	2	2	7	4	7	4	4	4
Ben Schneider			2	2		4	7	4	4	4	4	4	4	7	2	2	2	2				2	2	2	4	2	7	2	4	2
Michal Bar-Asher Siegal	4	7	7	4	2	2		4	2												4	4		2	7	7	4	7	4	4
Israel Knohl			4	4		7	7	2	2	7				4		7	4	4	4	7	4	2		2	7			2		2
Mercer Mayer	2		4	2		4	2	4	4	7	4	4	4	4	7		2		2	2	2	4	4	4	4					2
Michelle Phan	7	7	4	7	7	2	2	4	4		4	7	4	4	4			2	4		4	4	2	4	7	7	7	2	2	7
Trent Reznor						7	7	7	4	4	4	4	4	7		2	4	7	2	2	4	4	2	2	4	2	4	2	4	4
Kurt Cobain						7	7	4	4	2	4	4	4	7		4	4	4	2	2		2								2
Paul Banks	0	0	0	0	0	7	7	4	2	0	4	4	7	7	0	2	7	4	0	4	0	0	0	0	0	0	4	0	2	4
Ryan Higa	4	4	2	2		4	4	4	7	4	2	7	2	4	2	2	0	2	4		2	2	2	4	7	2	2	2	2	7
Katherine Fauvre	7	7	7	7	4							2			2		4			2	7	4		4	4	2	2	2	2	7
Michel Houellebecq			2			7	7	4	4	7	4	4	4	4	2	7	7	7		4	2	2	2	2	2	2	2			2
Elem Klimov	2		2	2		4	7		4	7		4		2		7	7	4		7	2				2	2	7		4	2
Ridley Scott		2	2	2		7	2	4	7	2	2	2	2	7	4	4	4	4	2	4	4	2	2	4	7		2	2	2	2
Clint Eastwood	2		2	2		2	4	2	7	7		2	2	2		4	7	7	4	4	2	2	2	4	4	2	2			2
Martin Heidegger			4			4	7	2		4		2				7	7	7	2	7	4	2		2			7		4	
Willard Quine			2			7	7	4	4	4		4				7	7	7	7	7	4	2			2		0	2	4	4
Ilya Sutskever	4	2	4	4		4	4	7	4	2	2	2	4	2		4	7	4		7	4	2		4	7	2	4	2	4	4
J. Robert Oppenheimer	2	2					7				2	7	2		2	7	7	4	2	7	4	4					4	2	7	4
Bertrand Russell	4					2	7	2				2				7	7	7	4	7	7	2		4		2	7		4	2
Jessica Alba	7	4	4	7	4	2	0	2	4		2	7	7	4	4		2	4			4	4	4	4	7	7	2	7	2	7
Harry Styles	2	2		2		4	4	4	4	4	4	4	7	4	2	2	2	7	4	2	2		2	2	2	2	7	2	4	7
Frank James			2	4		7	4	4	4	7	4	4	4	7	4			4	2		2	4	2	2	4		4	2	2	2
Sergio Leone						7	7	4	4	7		4				7	7	7	4	7	2	2	4				2			
Zayn Malik			0	2		7	7	7	4	4	7	4	7	7	2	2	2	2			2	2	4	4	2	2	2	0	2	4
Aubrey Marcus	4	4	4	4	7	2	2	2	4		2	7	2	4	7	2	2	4	2	0	4	4	2	7	7		2			2
Tyson Ritter	4	2	2	2		7	4	2	4	7	4	4	4	4	7			4	2		2	2	2	2	4	4	2		2	4
Umberto Eco			2	4		7	4	2	7	7		4	2	4	2	7	7	4	4	4	4	4	2	2	4				2	2
Matt Reeves	7	7	7	7	7			2	4		2	7	2	4	7		2	2	7		7	7		7	7		2		2	4
Elliott Hulse	2	2	7	4	7	2		4	2		4	4	7	2			2	2	2		4	4	2	4	7		2		2	2
Katie Bouman			2			7		4	7	4	7	2	4		7		4		2		2	4		7	2					
Rihanna	2		4	4		7	7	7	7	7	4	4	7	2	4			4			7	4	2	4	4	7	4		2	7
