SubjectNr	SignalCode	SignalDescr	Count
29	Gr-5	Pointed Eye-Toggling	2
30	Gr-5	Pointed Eye-Toggling	7
31	Gr-5	Pointed Eye-Toggling	7
32	Gr-5	Pointed Eye-Toggling	7
1	Gr-6	Eye-Head Parallel Motions	2
2	Gr-6	Eye-Head Parallel Motions	4
3	Gr-6	Eye-Head Parallel Motions	0
4	Gr-6	Eye-Head Parallel Motions	4
5	Gr-6	Eye-Head Parallel Motions	2
6	Gr-6	Eye-Head Parallel Motions	2
7	Gr-6	Eye-Head Parallel Motions	7
8	Gr-6	Eye-Head Parallel Motions	4
9	Gr-6	Eye-Head Parallel Motions	0
10	Gr-6	Eye-Head Parallel Motions	0
11	Gr-6	Eye-Head Parallel Motions	2
12	Gr-6	Eye-Head Parallel Motions	2
13	Gr-6	Eye-Head Parallel Motions	2
14	Gr-6	Eye-Head Parallel Motions	0
15	Gr-6	Eye-Head Parallel Motions	2
16	Gr-6	Eye-Head Parallel Motions	0
17	Gr-6	Eye-Head Parallel Motions	0
18	Gr-6	Eye-Head Parallel Motions	0
19	Gr-6	Eye-Head Parallel Motions	0
20	Gr-6	Eye-Head Parallel Motions	7
21	Gr-6	Eye-Head Parallel Motions	4
22	Gr-6	Eye-Head Parallel Motions	2
23	Gr-6	Eye-Head Parallel Motions	2
24	Gr-6	Eye-Head Parallel Motions	0
25	Gr-6	Eye-Head Parallel Motions	4
26	Gr-6	Eye-Head Parallel Motions	2
27	Gr-6	Eye-Head Parallel Motions	0
28	Gr-6	Eye-Head Parallel Motions	2
29	Gr-6	Eye-Head Parallel Motions	0
30	Gr-6	Eye-Head Parallel Motions	7
31	Gr-6	Eye-Head Parallel Motions	7
32	Gr-6	Eye-Head Parallel Motions	4
1	Gr-7	Grounding Effect	7
2	Gr-7	Grounding Effect	2
3	Gr-7	Grounding Effect	0
4	Gr-7	Grounding Effect	2
5	Gr-7	Grounding Effect	2
6	Gr-7	Grounding Effect	2
7	Gr-7	Grounding Effect	0
8	Gr-7	Grounding Effect	4
9	Gr-7	Grounding Effect	0
10	Gr-7	Grounding Effect	0
11	Gr-7	Grounding Effect	4
12	Gr-7	Grounding Effect	4
13	Gr-7	Grounding Effect	7
14	Gr-7	Grounding Effect	0
15	Gr-7	Grounding Effect	0
16	Gr-7	Grounding Effect	0
17	Gr-7	Grounding Effect	0
18	Gr-7	Grounding Effect	0
19	Gr-7	Grounding Effect	0
20	Gr-7	Grounding Effect	4
21	Gr-7	Grounding Effect	0
22	Gr-7	Grounding Effect	4
23	Gr-7	Grounding Effect	2
24	Gr-7	Grounding Effect	0
25	Gr-7	Grounding Effect	4
26	Gr-7	Grounding Effect	0
27	Gr-7	Grounding Effect	4
28	Gr-7	Grounding Effect	2
29	Gr-7	Grounding Effect	0
30	Gr-7	Grounding Effect	0
31	Gr-7	Grounding Effect	4
32	Gr-7	Grounding Effect	4
1	Gr-8	Bodily Awareness	4
2	Gr-8	Bodily Awareness	2
3	Gr-8	Bodily Awareness	2
4	Gr-8	Bodily Awareness	2
5	Gr-8	Bodily Awareness	0
6	Gr-8	Bodily Awareness	0
7	Gr-8	Bodily Awareness	0
8	Gr-8	Bodily Awareness	7
9	Gr-8	Bodily Awareness	0
10	Gr-8	Bodily Awareness	2
11	Gr-8	Bodily Awareness	2
12	Gr-8	Bodily Awareness	4
13	Gr-8	Bodily Awareness	7
14	Gr-8	Bodily Awareness	0
15	Gr-8	Bodily Awareness	0
16	Gr-8	Bodily Awareness	0
17	Gr-8	Bodily Awareness	0
18	Gr-8	Bodily Awareness	0
19	Gr-8	Bodily Awareness	0
20	Gr-8	Bodily Awareness	4
21	Gr-8	Bodily Awareness	0
22	Gr-8	Bodily Awareness	2
23	Gr-8	Bodily Awareness	2
24	Gr-8	Bodily Awareness	0
25	Gr-8	Bodily Awareness	0
26	Gr-8	Bodily Awareness	0
27	Gr-8	Bodily Awareness	0
28	Gr-8	Bodily Awareness	0
29	Gr-8	Bodily Awareness	0
30	Gr-8	Bodily Awareness	0
31	Gr-8	Bodily Awareness	4
32	Gr-8	Bodily Awareness	4
1	Ms-1	Lax Nasolabial Tension	4
2	Ms-1	Lax Nasolabial Tension	0
3	Ms-1	Lax Nasolabial Tension	0
4	Ms-1	Lax Nasolabial Tension	4
5	Ms-1	Lax Nasolabial Tension	0
6	Ms-1	Lax Nasolabial Tension	4
7	Ms-1	Lax Nasolabial Tension	0
8	Ms-1	Lax Nasolabial Tension	7
9	Ms-1	Lax Nasolabial Tension	0
10	Ms-1	Lax Nasolabial Tension	0
11	Ms-1	Lax Nasolabial Tension	2
12	Ms-1	Lax Nasolabial Tension	7
13	Ms-1	Lax Nasolabial Tension	7
14	Ms-1	Lax Nasolabial Tension	0
15	Ms-1	Lax Nasolabial Tension	4
16	Ms-1	Lax Nasolabial Tension	7
17	Ms-1	Lax Nasolabial Tension	0
18	Ms-1	Lax Nasolabial Tension	0
19	Ms-1	Lax Nasolabial Tension	4
20	Ms-1	Lax Nasolabial Tension	7
21	Ms-1	Lax Nasolabial Tension	7
22	Ms-1	Lax Nasolabial Tension	4
23	Ms-1	Lax Nasolabial Tension	7
24	Ms-1	Lax Nasolabial Tension	0
25	Ms-1	Lax Nasolabial Tension	0
26	Ms-1	Lax Nasolabial Tension	2
27	Ms-1	Lax Nasolabial Tension	7
28	Ms-1	Lax Nasolabial Tension	4
29	Ms-1	Lax Nasolabial Tension	7
30	Ms-1	Lax Nasolabial Tension	0
31	Ms-1	Lax Nasolabial Tension	7
32	Ms-1	Lax Nasolabial Tension	7
1	Ms-2	Horizontal Curtain Smiles	4
2	Ms-2	Horizontal Curtain Smiles	0
3	Ms-2	Horizontal Curtain Smiles	0
4	Ms-2	Horizontal Curtain Smiles	7
5	Ms-2	Horizontal Curtain Smiles	2
6	Ms-2	Horizontal Curtain Smiles	7
7	Ms-2	Horizontal Curtain Smiles	0
8	Ms-2	Horizontal Curtain Smiles	7
9	Ms-2	Horizontal Curtain Smiles	0
10	Ms-2	Horizontal Curtain Smiles	0
11	Ms-2	Horizontal Curtain Smiles	4
12	Ms-2	Horizontal Curtain Smiles	2
13	Ms-2	Horizontal Curtain Smiles	4
14	Ms-2	Horizontal Curtain Smiles	2
15	Ms-2	Horizontal Curtain Smiles	4
16	Ms-2	Horizontal Curtain Smiles	7
17	Ms-2	Horizontal Curtain Smiles	0
18	Ms-2	Horizontal Curtain Smiles	4
19	Ms-2	Horizontal Curtain Smiles	0
20	Ms-2	Horizontal Curtain Smiles	7
21	Ms-2	Horizontal Curtain Smiles	0
22	Ms-2	Horizontal Curtain Smiles	7
23	Ms-2	Horizontal Curtain Smiles	4
24	Ms-2	Horizontal Curtain Smiles	2
